email/username,firstName,lastName,street,city,stateCode,zipCode,phoneNumber
jbutt@gmail.com,James,Butt,6649 N Blue Gum St,New Orleans,LA,70116,504-621-8927
josephine_darakjy@darakjy.org,Josephine,Darakjy,4 B Blue Ridge Blvd,Brighton,MI,48116,810-292-9388
art@venere.org,Art,Venere,8 W Cerritos Ave #54,Bridgeport,NJ,8014,856-636-8749
lpaprocki@hotmail.com,Lenna,Paprocki,639 Main St,Anchorage,AK,99501,907-385-4412
donette.foller@cox.net,Donette,Foller,34 Center St,Hamilton,OH,45011,513-570-1893
simona@morasca.com,Simona,Morasca,3 Mcauley Dr,Ashland,OH,44805,419-503-2484
mitsue_tollner@yahoo.com,Mitsue,Tollner,7 Eads St,Chicago,IL,60632,773-573-6914
leota@hotmail.com,Leota,Dilliard,7 W Jackson Blvd,San Jose,CA,95111,408-752-3500
sage_wieser@cox.net,Sage,Wieser,5 Boston Ave #88,Sioux Falls,SD,57105,605-414-2147
kris@gmail.com,Kris,Marrier,228 Runamuck Pl #2808,Baltimore,MD,21224,410-655-8723
minna_amigon@yahoo.com,Minna,Amigon,2371 Jerrold Ave,Kulpsville,PA,19443,215-874-1229
amaclead@gmail.com,Abel,Maclead,37275 St  Rt 17m M,Middle Island,NY,11953,631-335-3414
kiley.caldarera@aol.com,Kiley,Caldarera,25 E 75th St #69,Los Angeles,CA,90034,310-498-5651
gruta@cox.net,Graciela,Ruta,98 Connecticut Ave Nw,Chagrin Falls,OH,44023,440-780-8425
calbares@gmail.com,Cammy,Albares,56 E Morehead St,Laredo,TX,78045,956-537-6195
mattie@aol.com,Mattie,Poquette,73 State Road 434 E,Phoenix,AZ,85013,602-277-4385
meaghan@hotmail.com,Meaghan,Garufi,69734 E Carrillo St,Mc Minnville,TN,37110,931-313-9635
gladys.rim@rim.org,Gladys,Rim,322 New Horizon Blvd,Milwaukee,WI,53207,414-661-9598
yuki_whobrey@aol.com,Yuki,Whobrey,1 State Route 27,Taylor,MI,48180,313-288-7937
fletcher.flosi@yahoo.com,Fletcher,Flosi,394 Manchester Blvd,Rockford,IL,61109,815-828-2147
bette_nicka@cox.net,Bette,Nicka,6 S 33rd St,Aston,PA,19014,610-545-3615
vinouye@aol.com,Veronika,Inouye,6 Greenleaf Ave,San Jose,CA,95111,408-540-1785
willard@hotmail.com,Willard,Kolmetz,618 W Yakima Ave,Irving,TX,75062,972-303-9197
mroyster@royster.com,Maryann,Royster,74 S Westgate St,Albany,NY,12204,518-966-7987
alisha@slusarski.com,Alisha,Slusarski,3273 State St,Middlesex,NJ,8846,732-658-3154
allene_iturbide@cox.net,Allene,Iturbide,1 Central Ave,Stevens Point,WI,54481,715-662-6764
